"OID","Country or Area","Year","Description","Magnitude","Value"
"61246S..ZK...","ALGERIA","2009","SECURITIES OTHER THAN SHARES","ALGERIAN DINARS","6931640000"
"61246L..ZK...","ALGERIA","2009","LOANS","ALGERIAN DINARS","13002000000"
"61246C..ZK...","ALGERIA","2009","LIABILITIES TO NONRESIDENTS","ALGERIAN DINARS","1046970000"
"61246D..ZK...","ALGERIA","2009","LIABILITIES TO CENTRAL GOVERNMENT","ALGERIAN DINARS","412891000"
"61246R..ZK...","ALGERIA","2009","INSURANCE TECHNICAL RESERVES","ALGERIAN DINARS","0"
"61246M..ZK...","ALGERIA","2009","FINANCIAL DERIVATIVES","ALGERIAN DINARS","0"
"61246B..ZK...","ALGERIA","2009","DEPOSITS","ALGERIAN DINARS","24856100000"
"61246S..ZK...","ALGERIA","2008","SECURITIES OTHER THAN SHARES","ALGERIAN DINARS","8091640000"
"61246B..ZF...","ALGERIA","2008","RESTRICTED DEPOSITS","ALGERIAN DINARS","24122000"
"61246L..ZK...","ALGERIA","2008","LOANS","ALGERIAN DINARS","17085000000"
"61246C..ZK...","ALGERIA","2008","LIABILITIES TO NONRESIDENTS","ALGERIAN DINARS","3684070000"
"61246D..ZK...","ALGERIA","2008","LIABILITIES TO CENTRAL GOVERNMENT","ALGERIAN DINARS","771179000"
"61246R..ZK...","ALGERIA","2008","INSURANCE TECHNICAL RESERVES","ALGERIAN DINARS","0"
"61246C..ZF...","ALGERIA","2008","FOREIGN LIABILITIES","ALGERIAN DINARS","3684070000"
"61246M..ZK...","ALGERIA","2008","FINANCIAL DERIVATIVES","ALGERIAN DINARS","0"
"61246B..ZK...","ALGERIA","2008","DEPOSITS","ALGERIAN DINARS","24122000"
"61246H..ZF...","ALGERIA","2008","CREDIT FROM OTHER DEPOSITORY CORPORA","ALGERIAN DINARS","17085000000"
"61246G..ZF...","ALGERIA","2008","CREDIT FROM MONETARY AUTHORITIES","ALGERIAN DINARS","0"
"61246D..ZF...","ALGERIA","2008","CENTRAL GOVERNMENT DEPOSITS","ALGERIAN DINARS","771179000"
"61246S..ZK...","ALGERIA","2007","SECURITIES OTHER THAN SHARES","ALGERIAN DINARS","8091640000"
"61246B..ZF...","ALGERIA","2007","RESTRICTED DEPOSITS","ALGERIAN DINARS","24122000"
"61246L..ZK...","ALGERIA","2007","LOANS","ALGERIAN DINARS","17432000000"
